name,counts
娘心 01,1271
国家公诉 01,323
娘妻 01,775
又见一帘幽梦 01,1651
仙侠剑 01,438
倚天屠龙记 01,11005
双喜盈门 01,2913
约会专家 01,1533
穹顶之下 第二季 01,9071
请回答1997 01,5109
微微一笑很倾城 01,247183
藏地密码 01,24364
锄奸 01,108
魔幻手机 01,7013
诛寇行动 01,174
东陵大盗 01,1089
急诊男女 01,3274
北京青年 01,4634
三妹 01,1720
《终极三国2017》第44集,4503
射雕英雄传之华山论剑 01,8055
西游记 01,4769
笑傲江湖 01版 01,5235
家有儿女 第三部 01,2976
书剑恩仇录 01,846
公主嫁到 01,3549
尖刀出鞘 01,95
巨浪 01,133
野山鹰 01,1383
剿匪英雄 01,57
怪侠欧阳德 01,1361
新水浒传 01 ：洪太尉误走妖魔,7659
麻雀 01,2713
爱你千万次 01,56
连城诀 04版 01,4149
海派甜心 01,2079
热血长安 第一季 01 诈尸中元,91773
大时代 01,636
穹顶之下 第一季 01,17395
傻儿传奇之抗战到底 01,2019
职场是个技术活 01,4916
柠檬初上 01,4416
乔家大院 01,1266
真爱之百万新娘 01,101
黑狐 01,1621
还珠格格之燕儿翩翩飞 01,1914
铁齿铜牙纪晓岚 第一部 01,8788
雷霆扫毒 01,4769
鬼同你OT 01,5654
我的1997 30,988
追击者 01,1543
少年王 01,4983
我的特一营 01,13
康熙微服私访记 第二部 01,518
上门女婿 01,318
不懂女人 01,40
千山暮雪 01,2211
烽火铁骑 01,154
转角遇到爱 01,2949
乡村爱情小夜曲 01,1070
致美丽的你 01,4848
古灵精探 B 01,4941
满仓进城 01,570
狼烟 01,106
锋刃 01,1065
爱情公寓 第三季 01 答案,61943
少年包青天 第二部 01,6076
瑶山大剿匪 01,211
走西口 01,676
巨轮 01,1884
牛郎织女01,661
小李飞刀 01,12340
英雄联盟 01,695
中国兄弟连 01,775
清潭洞爱丽丝 01,2120
万万没想到 第二季 01 美男子唐僧,2461
刺青 01,1388
我和她的传奇情仇 01,2430
东坡家事 01,7399
十宗罪 01 特案组集结竟大打出手 白骨谜案待侦破,67796
陈真01,1045
大太监 01,2348
EU超时任务 22,5109
水浒 01 晁盖,1519
神探夏洛克 第二季 01,26789
因为爱情有幸福 01,5956
十大奇冤 01,2229
金粉世家 40,1621
孤战 01,1398
伏击 01,1496
最佳情侣 01,14261
大汉天子 第一部 01,1409
大丈夫 01,3509
奶酪陷阱 01,20068
姐妹新娘 01,3
英雄祭 01,648
血色浪漫 01,2434
法外风云 01,1440
人鬼情缘 01,1288
幸福两部曲 01,207
血誓 01,20
上错花轿嫁对郎 01,10393
谢文东4:风云再起之再战江湖 01,13536
射雕英雄传03版 01,5044
李小龙传奇 01,3450
包青天之七侠五义 01,2218
情谜睡美人 01,3834
温柔的诱惑 01,949
女人的村庄 01,10
我是特种兵之利刃出鞘 01,3179
狙击生死线01,285
女人进城 01,229
淬火成钢 01,706
活佛济公3 01,2938
李卫当官 第三部 01,2023
西涯侠 01,83319
黑名单 01,543
鲜肉老师 01,42924
小鱼儿与花无缺 01,2966
真心想让你幸福 01,1070
观世音传奇 01,554
爱，来的刚好 01,4818
三生三世十里桃花 01,94484
花千骨 01,13698
麻辣变形计 01,17454
少年包青天 第一部 01,11773
忠奸人 01,2419
重案六组 第四部 01,1480
最美是你 01,3626
飞虎队 01,933
神探夏洛克 第四季 01,76283
结婚的女神 01,1035
开国元勋朱德 01,563
春光灿烂猪八戒 01,5724
回家的诱惑 01,1866
幸福来敲门 01,123
刀锋1937 01,1519
老兵 01,1073
步步惊心:丽 01,125668
乘胜狙击 01,7003
东方红1949 01,7
三国演义01,55580
知青家庭 01,1331
乡村爱情 第三部 01,2039
天地男儿 01,322
天地传奇01,1626
因为爱情 第二部 01,37
Oh 我的维纳斯 01,16516
孝庄秘史01,3925
贤妻 01,271
大军师司马懿之军师联盟 01,115795
我的团长我的团 01,1075
西游记后传 01,15558
爹妈满院 01,5409
雪豹坚强岁月 01,1281
战将 01,150
天龙八部 01,43599
地道战 01,174
龙巡天下 01,2815
樱桃红 01,1924
十二生肖传奇 01,2080
乡村爱情 第一部 02,2619
解密 01,8251
湄公河大案 01,2995
快递先生与贵妃小姐 01,8126
春桃的战争 01,12
我的狐仙老婆 第一季 01,28836
罗龙镇女人 01,97
秦始皇01,2854
士兵突击 01,1304
施公奇案 01,390
龙珠传奇 90,21879
咱们结婚吧 01,4398
老爸当家 01,8151
小丈夫 01,18344
锦绣缘华丽冒险 01,1196
糊涂县令郑板桥 01,4305
麻辣变形计 01,2475
永不磨灭的番号 01,2166
天国的阶梯 01,2599
新侠客行 01,6590
嫁个老公过日子 01,5179
玩偶骑士Dream Knight 01,3308
天龙八部 01,9945
终极一班 01,13946
人民的名义 01,576
天师钟馗 01,2636
渗透 01,950
霍元甲 01,1288
女人当官 01,248
新萧十一郎 01,3323
断箭 01,8
你是谁-学校2015 01,20474
顺娘 01,86
独生子女的婆婆妈妈 01,73
冲上云霄Ⅱ 01,3885
创世纪Ⅱ天地有情  01,1323
一起用餐吧 01,2864
武松 01,915
东游记 01,3229
金剑雕翎 01,298
原来是美男 01,9278
On Call 36小时 Ⅱ 01,2284
大丫鬟 01,226
后宫 01,2795
精武门 01,4335
带泪梨花 01,614
康熙微服私访记 第四部 01,2434
克拉恋人 01,6748
请回答1994 01,11255
秘密花园 01,8453
我是幸运儿 01,1508
女人不哭  01,711
潮流教主 01,7671
战地狮吼 01,64
风云雄霸天下 01,12129
一起来看流星雨 01,11178
裸婚时代 01,5474
谈情说案 01,3410
小草青青 01,1991
我是特种兵之利刃出鞘 01,1619
我的二哥二嫂 01,295
武媚娘传奇 01,1046
宝莲灯 01,4086
硬骨头 01,1988
箭在弦上 01,954
我的灿烂人生 01,218
第22条婚规 01,6721
神犬小七 第二季 01,9371
你的女人 01,166
雪鹰 01,234
大刀记 01,453
溏心风暴 01,423
重案六组 第三部 01,1215
黑玫瑰01,734
Doctor异乡人 01,17244
何以笙箫默 01,11865
御前四宝 01,2753
铁腕行动 01,508
封神榜之凤鸣岐山 01,1060
天不藏奸 01,978
艰难爱情 01,1524
珠光宝气 01,2499
爱恨一线牵 01,1154
刁蛮公主01,2138
暗香 01,490
民兵葛二蛋 01,1916
别那么骄傲 第一季 01 导演剪辑版,6630
家有儿女001,8788
抗倭英雄戚继光 01,1556
以和为贵 01,2849
对我而言，可爱的她 01,13494
仁显王后的男人 01,4389
铁齿铜牙纪晓岚 第四部 01,7633
虎胆雄心 01,564
生死连 01,46
中国地 01,513
哑巴新娘01,2533
五号特工组之偷天换月 01,718
我爱男保姆 01,8919
嫂子嫂子 01,1050
护花危情 01,3329
锻刀 01,4369
媳妇的眼泪 01,416
冒牌英雄 01,389
豆腐西施杨七巧 01,144
地雷战 01,404
中国刑侦一号案  01,1869
鹿鼎记 01,14660
川军团血战到底 01,129
红楼梦 01,6804
地下交通站 01,2311
马大帅 第一部 01,2173
伤不起的青春 01,79
女娲传说之灵珠 01,2514
解放大西南 01,163
济公 01,8439
家有儿女 第四部 01,2499
正阳门下 01,3681
武当Ⅱ 01,1491
咱们相爱吧 01,15178
洪熙官 01,263
新上海滩 01,6824
刑事侦缉档案 II  01,2119
神机妙算刘伯温 01,628
深夜食堂 第三季 01,6558
宁为女人01,25
幸福最晴天 02,1045
闪亮茗天 01,315
激情燃烧的岁月01,1540
天眼 01,7326
拆局专家 01,8753
武林外史01,5930
产科男医生 01,1725
少年杨家将 01,3503
我家有喜 01,916
彩象岛的女孩 01,756
上流社会 01,7481
四个女仔三个BAR 01,1386
彩虹甜心 01,584
复合大师 01,10671
终极一班3 01,25833
侠客行01,8431
温柔的谎言 01,1708
大汉情缘之云中歌 01,1885
搜神传 01,1719
锦绣未央 01,64840
神话 01,20851
仙剑奇侠传 第一部 01,43928
八卦神探 01,2594
饭制剧：不可预料的恋人 02,2101
谈判专家01,930
活佛济公 02,2429
神枪狙击 01,4988
小时代 01,6541
一粒红尘 01,169
至尊红颜 01,2689
青云志 01,138891
我的前半生 01,33979
人民的名义 01,8311
水月洞天 01,8764
走出蓝水河01,22
我的灵界男友 01,1934
致青春 01,35364
枪侠 01,1005
无法放弃 01,32
呼啸山乡 01,244
换子成龙01,68
深夜食堂 第二季 01,7085
封神榜 01,1583
康熙微服私访记 第一部01,4580
少年神探狄仁杰 01,2265
放弃我，抓紧我 01,2035
陆军一号 01,585
On Call 36小时 01,2060
上将许世友 18,15
保密局1949 01,11
第二次二十岁 01,4406
生死相随 01,42
万万没想到 01 低成本武侠篇,2588
擒狼 01,3194
命案十三宗 01,773
绝密押运 01,1538
网球王子01,3210
恋爱相对论 01,1218
不可能完成的任务 01,4260
倾世皇妃 01,5483
石敢当之雄峙天东 01,2020
不要犹豫 01,223
因为爱情有幸福 01,458
鬼吹灯  01,2173
邻家花美男 01,2021
家仇 01,10
谢文东之风云再起 01,7069
汉武大帝01,6223
幻城 01,47073
萧十一郎03版 01,5389
神探狄仁杰 第二部 01,10349
圆月弯刀 01,6423
万万没想到之小兵过年 01：<神秘雪藏篇>请假ing,1561
还珠格格 第二部 01,7021
乌龙闯情关 01,5105
深夜食堂 第一季 01,10799
特战先锋 01,471
封神榜之武王伐纣 01,413
大村官 01,157
战火中的兄弟 01,2560
殊死七日 01,2938
飞刀又见飞刀 01,73728
秦时明月 01,49785
薛丁山 01,1256
魔术师 第一季 01,3778
绝命后卫师 01,1433
憨豆先生 14,5638
远得要命的爱情 01,4713
海魂 01,68
潜行狙击 01,6148
苦咖啡 01,5311
妻子的谎言 01,1064
神秘人质 01,151
家的N次方 01,1535
决战江桥 01,4860
野狼 01,248
甜蜜蜜01,1613
异能家庭 01,17065
施公奇案Ⅱ 01,259
剑谍 01,476
我和僵尸有个约会 第一部 01,15543
五星红旗迎风飘扬 01,39
大唐双龙传之长生诀 01,1399
仙剑云之凡 01,70944
天涯赤子心 01,720
神医喜来乐 01,1593
学生兵 05,112
新妓生传 01,2479
红七军 01,75
赛小花的远大前程 01,1436
少林问道 24,212
屋塔房王世子 01,6761
寒山潜龙 01,1856
温柔的背叛 01,1306
爱情回来了 01,5486
魔界之龙珠 01,2079
黑狐之风影 01,3430
龙八夷 01,15186
上海滩 01,4915
倚天屠龙记 01,11775
长征大会师 01,571
咱们相爱吧 01,1466
搭错车 01,4488
天仙配 01,1284
渴望 01,1009
特殊争夺 01,1153
一起又看流星雨 01,7440
芙蓉诀 01,1989
插翅难逃 01,3111
狐影 01,605
马大帅 第三部 01,1383
隋唐英雄之薛刚反唐 01,378
灵镜传奇 01,4184
上海王 01,282
茶馆 01,1056
穷孩子富孩子 01,606
天地姻缘七仙女 01,2414
冲上云霄 01,2428
千金女贼 01,758
天下第一 01,9108
任长霞 01,1035
寂寞空庭春欲晚 01,12855
情深深雨濛濛 01,7664
炊事班的故事 第二部 01,2395
苍狼 01,814
龙游天下 01,3175
大秦帝国之纵横 01,11589
择天记 01,10258
神探狄仁杰第一部 01,11610
我要当八路 01,244
美人心计 01,3166
师奶Madam 01,2084
你的传奇之危机四伏 01,1083
我的丑娘 01,1053
特种兵之火凤凰 01,479
狼牙英雄 01,122
三个奶爸 01,1869
俺爹是卧底 01,1736
狙击部队 01,604
射雕英雄传之东邪西毒 01,9736
五星红旗迎风飘扬2 01,24
幽灵 01,4614
女管家 01,3094
楚汉传奇 01,14840
包青天之碧血丹心 01,224
仙剑奇侠传三 01,33388
洗冤录 01,9910
重案六组 第一部 01,1956
少年包青天 第三部 01,5553
情定三生 01,716
马向阳下乡记 01,986
铁血红安 01,138
克拉恋人 01,2001
八方传奇 01,1863
走向共和 01,989
猎刃 01,4004
我可能不会爱你 01,3329
新乌龙山剿匪记 01,167
我的爱情撞上了战争 01,689
敢死队 01,67
新济公活佛 01,761
八仙过海 01,495
女医明妃传 01,15784
马永贞 01,520
泡沫之夏 01,2836
爱情睡醒了 01,2180
红楼梦 01,20500
冷风暴 01,206
爸爸父亲爹 01,257
康熙王朝 01,7505
